Year,Race,Driver,Constructor,Position,Points
2014,Abu Dhabi Grand Prix,Hamilton,Mercedes,1,50.0
2014,Abu Dhabi Grand Prix,Massa,Williams,2,36.0
2014,Abu Dhabi Grand Prix,Bottas,Williams,3,30.0
2014,Abu Dhabi Grand Prix,Ricciardo,Red Bull,4,24.0
2014,Abu Dhabi Grand Prix,Button,McLaren,5,20.0
2014,Abu Dhabi Grand Prix,Hülkenberg,Force India,6,16.0
2014,Abu Dhabi Grand Prix,Pérez,Force India,7,12.0
2014,Abu Dhabi Grand Prix,Vettel,Red Bull,8,8.0
2014,Abu Dhabi Grand Prix,Alonso,Ferrari,9,4.0
2014,Abu Dhabi Grand Prix,Räikkönen,Ferrari,10,2.0
2014,Abu Dhabi Grand Prix,Magnussen,McLaren,11,0.0
2014,Abu Dhabi Grand Prix,Vergne,Toro Rosso,12,0.0
2014,Abu Dhabi Grand Prix,Grosjean,Lotus F1,13,0.0
2014,Abu Dhabi Grand Prix,Rosberg,Mercedes,14,0.0
2014,Abu Dhabi Grand Prix,Gutiérrez,Sauber,15,0.0
2014,Abu Dhabi Grand Prix,Sutil,Sauber,16,0.0
2014,Abu Dhabi Grand Prix,Stevens,Caterham,17,0.0
2014,Abu Dhabi Grand Prix,Kobayashi,Caterham,18,0.0
2014,Abu Dhabi Grand Prix,Maldonado,Lotus F1,19,0.0
2014,Abu Dhabi Grand Prix,Kvyat,Toro Rosso,20,0.0
2014,Australian Grand Prix,Rosberg,Mercedes,1,25.0
2014,Australian Grand Prix,Magnussen,McLaren,2,18.0
2014,Australian Grand Prix,Button,McLaren,3,15.0
2014,Australian Grand Prix,Alonso,Ferrari,4,12.0
2014,Australian Grand Prix,Bottas,Williams,5,10.0
2014,Australian Grand Prix,Hülkenberg,Force India,6,8.0
2014,Australian Grand Prix,Räikkönen,Ferrari,7,6.0
2014,Australian Grand Prix,Vergne,Toro Rosso,8,4.0
2014,Australian Grand Prix,Kvyat,Toro Rosso,9,2.0
2014,Australian Grand Prix,Pérez,Force India,10,1.0
2014,Australian Grand Prix,Sutil,Sauber,11,0.0
2014,Australian Grand Prix,Gutiérrez,Sauber,12,0.0
2014,Australian Grand Prix,Chilton,Marussia,13,0.0
2014,Australian Grand Prix,Bianchi,Marussia,14,0.0
2014,Australian Grand Prix,Grosjean,Lotus F1,15,0.0
2014,Australian Grand Prix,Maldonado,Lotus F1,16,0.0
2014,Australian Grand Prix,Ericsson,Caterham,17,0.0
2014,Australian Grand Prix,Vettel,Red Bull,18,0.0
2014,Australian Grand Prix,Hamilton,Mercedes,19,0.0
2014,Australian Grand Prix,Massa,Williams,20,0.0
2014,Australian Grand Prix,Kobayashi,Caterham,21,0.0
2014,Australian Grand Prix,Ricciardo,Red Bull,22,0.0
2014,Austrian Grand Prix,Rosberg,Mercedes,1,25.0
2014,Austrian Grand Prix,Hamilton,Mercedes,2,18.0
2014,Austrian Grand Prix,Bottas,Williams,3,15.0
2014,Austrian Grand Prix,Massa,Williams,4,12.0
2014,Austrian Grand Prix,Alonso,Ferrari,5,10.0
2014,Austrian Grand Prix,Pérez,Force India,6,8.0
2014,Austrian Grand Prix,Magnussen,McLaren,7,6.0
2014,Austrian Grand Prix,Ricciardo,Red Bull,8,4.0
2014,Austrian Grand Prix,Hülkenberg,Force India,9,2.0
2014,Austrian Grand Prix,Räikkönen,Ferrari,10,1.0
2014,Austrian Grand Prix,Button,McLaren,11,0.0
2014,Austrian Grand Prix,Maldonado,Lotus F1,12,0.0
2014,Austrian Grand Prix,Sutil,Sauber,13,0.0
2014,Austrian Grand Prix,Grosjean,Lotus F1,14,0.0
2014,Austrian Grand Prix,Bianchi,Marussia,15,0.0
2014,Austrian Grand Prix,Kobayashi,Caterham,16,0.0
2014,Austrian Grand Prix,Chilton,Marussia,17,0.0
2014,Austrian Grand Prix,Ericsson,Caterham,18,0.0
2014,Austrian Grand Prix,Gutiérrez,Sauber,19,0.0
2014,Austrian Grand Prix,Vergne,Toro Rosso,20,0.0
2014,Austrian Grand Prix,Vettel,Red Bull,21,0.0
2014,Austrian Grand Prix,Kvyat,Toro Rosso,22,0.0
2014,Bahrain Grand Prix,Hamilton,Mercedes,1,25.0
2014,Bahrain Grand Prix,Rosberg,Mercedes,2,18.0
2014,Bahrain Grand Prix,Pérez,Force India,3,15.0
2014,Bahrain Grand Prix,Ricciardo,Red Bull,4,12.0
2014,Bahrain Grand Prix,Hülkenberg,Force India,5,10.0
2014,Bahrain Grand Prix,Vettel,Red Bull,6,8.0
2014,Bahrain Grand Prix,Massa,Williams,7,6.0
2014,Bahrain Grand Prix,Bottas,Williams,8,4.0
2014,Bahrain Grand Prix,Alonso,Ferrari,9,2.0
2014,Bahrain Grand Prix,Räikkönen,Ferrari,10,1.0
2014,Bahrain Grand Prix,Kvyat,Toro Rosso,11,0.0
2014,Bahrain Grand Prix,Grosjean,Lotus F1,12,0.0
2014,Bahrain Grand Prix,Chilton,Marussia,13,0.0
2014,Bahrain Grand Prix,Maldonado,Lotus F1,14,0.0
